conversion_date,campaign_name,click_device_id,conversion_device_id,click_ip,conversion_ip,conversion_id,vendor_name,app_id,status,track_type,repeated
2018-07-31,MarvelCoC_iOS_US,"","",54.236.8.116,,36ABBC2A6BBD4484ACD1341BE46A,Cross Audience,b59d7be7,INSTALL DECAY THRESHOLD,8,f
2018-07-31,MarvelCoC_iOS_US,"","",107.77.196.12,,B379288BFC2447D28C6918BB064E,Cross Audience,c18ba8c9,INSTALL DECAY THRESHOLD,8,f
2018-07-31,MarvelCoC_iOS_US,"","",34.232.65.208,,F900279A632B4E659762A0439B1C,Cross Audience,5e524bb5,INSTALL DECAY THRESHOLD,8,f
2018-07-31,MarvelCoC_iOS_US,8CB97FF7-57C3-4D39-A6DD-C4B64E60F033,8CB97FF7-57C3-4D39-A6DD-C4B64E60F033,54.86.149.29,68.228.154.38,8f7901e2f7ee4a4ea715f96f52ad42fc,Bold Screen,57_31998508,OVER CAP,2,f
2018-07-31,MarvelCoC_iOS_US,"","",54.236.8.116,,36ABBC2A6BBD4484ACD1341BE46A,Cross Audience,b59d7be7,INSTALL DECAY THRESHOLD,8,f
2018-07-31,MarvelCoC_iOS_US,"","",107.77.221.42,,dJBG82EOJ6927KAF1D5S68DU,PerforMarkt,4a3eb781-4a0d-41fc-932b-9f866c403bb3-101646-09f3b0e6-ee3f-48ff-a309-a5375efbf6ef,INSTALL DECAY THRESHOLD,8,f
2018-07-31,MarvelCoC_iOS_US,"","",107.77.196.12,,B379288BFC2447D28C6918BB064E,Cross Audience,c18ba8c9,INSTALL DECAY THRESHOLD,8,f
2018-07-31,MarvelCoC_iOS_US,CF7E3CA0-B02D-4C42-9448-2CB14479FA69,CF7E3CA0-B02D-4C42-9448-2CB14479FA69,54.236.254.105,184.103.184.169,059f594b069c4c1da5e9ee34aed79504,Bold Screen,57_31468168,OVER CAP,2,f
2018-07-31,MarvelCoC_iOS_US,6114BFB4-49E2-48EB-A3D5-6770E16DD7CB,"",34.239.184.68,,req~b3bf2254-2a91-42ac-a438-37a8e6f9b82f___str~31377630___cam~4129219___cre~6530128___exc~201___bun~749133753___pay~2.799999952316284___clk~377c3f11-6ff6-4d9c-b77e-357490b8aa30,Sift Media,31377630,MANNUAL STOPPED,8,f
2018-07-31,MarvelCoC_iOS_US,"","",107.77.224.176,,dQU9MUDDEEPJKBNF14HUS9C2,PerforMarkt,bb78609d-3321-23189-5fbace31-1dcf-4d81-a10c-3556be02d0ea,INSTALL DECAY THRESHOLD,8,f
2018-07-31,MarvelCoC_iOS_US,"","",34.229.219.221,,8DCD296AFB2047148DA12356B656,Cross Audience,b3fbbf32,INSTALL DECAY THRESHOLD,8,f
2018-07-31,MarvelCoC_iOS_US,"","",34.229.219.221,,8DCD296AFB2047148DA12356B656,Cross Audience,b3fbbf32,INSTALL DECAY THRESHOLD,8,f
2018-07-31,MarvelCoC_iOS_US,"","",107.77.233.104,,w2JHEQLIIA6OGUHF1O1SLH1A,Wavefield,91207b7a-0495-4b2c-be15-2ea5c7e529ef1222206,INSTALL DECAY THRESHOLD,8,f
2018-07-31,MarvelCoC_iOS_US,"","",99.203.54.150,,FFD2193B67C547FB8B31763A9457,Cross Audience,b59d7be7,INSTALL DECAY THRESHOLD,8,f
2018-07-31,MarvelCoC_iOS_US,"","",54.88.12.241,,BC84551676924D499DC247FE1570,Cross Audience,f0dc03d7,INSTALL DECAY THRESHOLD,4,f
2018-07-31,MarvelCoC_iOS_US,"","",107.77.216.32,,wH07G7CM4RDJSVNF1FJ7CK0I,Wavefield,6388f2ec-7a65-435b-9454-c0dc4dd899cc35665,INSTALL DECAY THRESHOLD,8,f
2018-07-31,MarvelCoC_iOS_US,"","",107.77.216.32,,wH07G7CM4RDJSVNF1FJ7CK0I,Wavefield,6388f2ec-7a65-435b-9454-c0dc4dd899cc35665,INSTALL DECAY THRESHOLD,4,f
2018-07-31,MarvelCoC_iOS_US,"",2CA26CC3-7B16-438A-80E3-1EFBC6A53320,107.77.232.107,107.77.232.107,CBC831DEEC4C4A8FA7835AA3ADF3,Cross Audience,93991c6a,INSTALL DECAY THRESHOLD,2,f
2018-07-31,MarvelCoC_iOS_US,"","",107.77.209.191,,dQ2D66HF2TR91JJF1FK27OAC,PerforMarkt,0ffe13d9-1111-101646-09f3b0e6-ee3f-48ff-a309-a5375efbf6ef,INSTALL DECAY THRESHOLD,8,f
2018-07-31,MarvelCoC_iOS_US,"","",107.77.215.190,,dCR4J9URH8TH62MFH214OB1E,PerforMarkt,bb78609d-e7b7-451e-9188-c182d2133d1c-101646-5930b877-7477-4737-bc50-425891121fb9,INSTALL DECAY THRESHOLD,8,f
2018-07-31,MarvelCoC_iOS_US,"",DCCBB457-6E6C-4775-8047-304C38D1C9DB,107.77.216.32,107.77.216.32,wH07G7CM4RDJSVNF1FJ7CK0I,Wavefield,6388f2ec-7a65-435b-9454-c0dc4dd899cc35665,INSTALL DECAY THRESHOLD,2,f
2018-07-31,MarvelCoC_iOS_US,"","",107.77.215.190,,dCR4J9URH8TH62MFH214OB1E,PerforMarkt,bb78609d-e7b7-451e-9188-c182d2133d1c-101646-5930b877-7477-4737-bc50-425891121fb9,INSTALL DECAY THRESHOLD,8,f
2018-07-31,MarvelCoC_iOS_US,"","",99.203.23.32,,66CF325DFA1D4A0B82365F394353,Cross Audience,034eff2f,INSTALL DECAY THRESHOLD,8,f
2018-07-31,MarvelCoC_iOS_US,"","",107.77.221.23,,d175ee54a70d4ea8875366bca0019e7c,Bold Screen,78_1442_1228_a09205_99681687b,INSTALL DECAY THRESHOLD,8,f
2018-07-31,MarvelCoC_iOS_US,"","",99.203.23.32,,66CF325DFA1D4A0B82365F394353,Cross Audience,034eff2f,INSTALL DECAY THRESHOLD,8,f
2018-07-31,MarvelCoC_iOS_US,"",B73A5E50-CD95-496C-BE42-1534EF229B2B,72.89.251.72,72.89.251.72,B1706A8D3A6A4CCC874BC0338CCA,Cross Audience,f20a01d8,MTTI SUB THRESHOLD,2,f
2018-07-31,MarvelCoC_iOS_US,"","",107.77.216.32,,wH07G7CM4RDJSVNF1FJ7CK0I,Wavefield,6388f2ec-7a65-435b-9454-c0dc4dd899cc35665,INSTALL DECAY THRESHOLD,8,f
2018-07-31,MarvelCoC_iOS_US,"","",107.77.212.76,,dFSV0N2H0CT1FTMF15A5MJ0I,PerforMarkt,bb78609d-e7b7-451e-9188-c182d2133d1c-101646-09f3b0e6-ee3f-48ff-a309-a5375efbf6ef,INSTALL DECAY THRESHOLD,8,f
2018-07-31,MarvelCoC_iOS_US,0A6C9B90-5179-4895-A654-12DBD07E788A,"",172.56.26.149,,wGIITKPLHCEFA5OFHV5KQKCQ,UpTop Digital,3b9d705aba7449d6bc91165756d85fa8,INSTALL DECAY THRESHOLD,8,f
2018-07-31,MarvelCoC_iOS_US,0A6C9B90-5179-4895-A654-12DBD07E788A,"",172.56.26.149,,wGIITKPLHCEFA5OFHV5KQKCQ,UpTop Digital,3b9d705aba7449d6bc91165756d85fa8,INSTALL DECAY THRESHOLD,4,f
2018-07-31,MarvelCoC_iOS_US,"","",107.77.212.152,,d2AEMF4DI14OUTMFHO93MI2K,PerforMarkt,bb78609d-3320-101646-9e0bd3da-fecf-445f-9a72-2a5bb60c9128,INSTALL DECAY THRESHOLD,8,f
2018-07-31,MarvelCoC_iOS_US,0A6C9B90-5179-4895-A654-12DBD07E788A,"",172.56.26.149,172.56.26.149,wGIITKPLHCEFA5OFHV5KQKCQ,UpTop Digital,3b9d705aba7449d6bc91165756d85fa8,INSTALL DECAY THRESHOLD,2,f
2018-07-31,MarvelCoC_iOS_US,FE091FF7-3E0A-43B7-89C8-D168FA8025CB,"",172.58.43.156,,wRM5D8CVJL2A15OF1H47PE3G,UpTop Digital,agltb3B1Yi1pbmNyDAsSA0FwcBj01OETDA,INSTALL DECAY THRESHOLD,8,f
2018-07-31,MarvelCoC_iOS_US,"","",107.77.225.109,,dKVNGRKEGB5OURCF118CG132,PerforMarkt,bb78609d-3320-101646-5930b877-7477-4737-bc50-425891121fb9,INSTALL DECAY THRESHOLD,8,f
2018-07-31,MarvelCoC_iOS_US,"",9EDC801A-591E-4E08-8D3A-3F5FA698094E,66.87.69.7,66.87.69.7,FF05E13CD5FB4A2685847BE93BC6,Cross Audience,c18ba8c9,INSTALL DECAY THRESHOLD,2,f
2018-07-31,MarvelCoC_iOS_US,"","",66.87.69.7,,FF05E13CD5FB4A2685847BE93BC6,Cross Audience,c18ba8c9,INSTALL DECAY THRESHOLD,4,f
2018-07-31,MarvelCoC_iOS_US,"","",107.77.216.32,,wH07G7CM4RDJSVNF1FJ7CK0I,Wavefield,6388f2ec-7a65-435b-9454-c0dc4dd899cc35665,INSTALL DECAY THRESHOLD,8,f
2018-07-31,MarvelCoC_iOS_US,"","",172.58.200.204,,269BE3A24AF34FFCA2B06C3121AC,Cross Audience,8f797812,INSTALL DECAY THRESHOLD,4,f
2018-07-31,MarvelCoC_iOS_US,"","",107.77.216.32,,wH07G7CM4RDJSVNF1FJ7CK0I,Wavefield,6388f2ec-7a65-435b-9454-c0dc4dd899cc35665,INSTALL DECAY THRESHOLD,8,f
2018-07-31,MarvelCoC_iOS_US,311F1CFC-F3C5-4CFF-BE33-7C1D7463EEA5,311F1CFC-F3C5-4CFF-BE33-7C1D7463EEA5,52.77.166.228,73.210.225.216,15078a11c6524dfa9328559d49035db7,Bold Screen,57_32949853,OVER CAP,2,f
2018-07-31,MarvelCoC_iOS_US,"","",54.91.44.165,,42FA506B67384DA9A4EC7184815A,Cross Audience,2517b1b2,INSTALL DECAY THRESHOLD,8,f
2018-07-31,MarvelCoC_iOS_US,"","",54.91.44.165,,42FA506B67384DA9A4EC7184815A,Cross Audience,2517b1b2,INSTALL DECAY THRESHOLD,4,f
2018-07-31,MarvelCoC_iOS_US,"","",107.77.196.78,,dGOCA7PVS3KCIUMF10ELGVAS,PerforMarkt,23189-4613ba28-54e7-48d4-a4e7-b7ab7876cdf1,INSTALL DECAY THRESHOLD,8,f
2018-07-31,MarvelCoC_iOS_US,"","",107.77.224.176,,dQU9MUDDEEPJKBNF14HUS9C2,PerforMarkt,bb78609d-3321-23189-5fbace31-1dcf-4d81-a10c-3556be02d0ea,INSTALL DECAY THRESHOLD,8,f
2018-07-31,MarvelCoC_iOS_US,0295DB8E-655B-4FA6-85EB-1A2286A7331F,0295DB8E-655B-4FA6-85EB-1A2286A7331F,34.239.184.68,24.184.30.106,d5f25e56c83c470e9c2b1d9cdfb010b8,Bold Screen,57_31468168,OVER CAP,2,f
2018-07-31,MarvelCoC_iOS_US,03785AE7-E29F-4499-97C2-9518B21265A2,03785AE7-E29F-4499-97C2-9518B21265A2,34.228.14.104,99.203.30.189,ca8fb9fcb0564e32a5a0fe9f30b35975,Bold Screen,57_31757127,OVER CAP,2,f
2018-07-31,MarvelCoC_iOS_US,2588D3D4-87D1-474E-8B17-EBA095F971AA,2588D3D4-87D1-474E-8B17-EBA095F971AA,52.220.124.103,107.242.113.6,a791e1a3cd974f3f99c2273ecefce1c0,Bold Screen,57_31390709,OVER CAP,2,f
2018-07-31,MarvelCoC_iOS_US,0F325D02-A817-432D-9B2F-49E4079AACA0,0F325D02-A817-432D-9B2F-49E4079AACA0,52.220.124.103,104.12.1.136,7c2e665433384839b2460519d253e2b1,Bold Screen,57_31419319,OVER CAP,2,f
2018-07-31,MarvelCoC_iOS_US,"","",107.77.224.176,,dQU9MUDDEEPJKBNF14HUS9C2,PerforMarkt,bb78609d-3321-23189-5fbace31-1dcf-4d81-a10c-3556be02d0ea,INSTALL DECAY THRESHOLD,8,f
2018-07-31,MarvelCoC_iOS_US,FE091FF7-3E0A-43B7-89C8-D168FA8025CB,"",172.58.43.156,,wRM5D8CVJL2A15OF1H47PE3G,UpTop Digital,agltb3B1Yi1pbmNyDAsSA0FwcBj01OETDA,INSTALL DECAY THRESHOLD,8,f
2018-07-31,MarvelCoC_iOS_US,"","",107.77.209.228,,wS28BE7BDH49DVKFH3QCCE54,Wavefield,6388f2ec-7a65-435b-9454-c0dc4dd899cc35665,INSTALL DECAY THRESHOLD,8,f
2018-07-31,MarvelCoC_iOS_US,5C15424A-F14C-4680-B22E-E27DC58922DD,"",52.77.166.228,,req~4f18edf4-dde6-4080-84d8-5307b07d1428___str~31391599___cam~4129219___cre~6530056___exc~203___bun~1390992134___pay~2.799999952316284___clk~8237fba3-99ef-413c-9d75-a5be96a3326e,Sift Media,31391599,MANNUAL STOPPED,8,f
2018-07-31,MarvelCoC_iOS_US,A8928CEB-3086-40F5-A9FA-D441081EDB95,"",172.58.155.48,,w43CTOB71J6AD2NFHM4LJGSA,UpTop Digital,a9716963d1b94739aabc2a9398fbdffb,INSTALL DECAY THRESHOLD,8,f
2018-07-31,MarvelCoC_iOS_US,0FDD079C-11E5-493E-B87B-6AAF534EA8D2,"",172.58.232.51,,wATPUJ7MTD0R72OF1CV6GQEA,UpTop Digital,5469b0f75e9540259a25182bbfda1b43,INSTALL DECAY THRESHOLD,8,f
2018-07-31,MarvelCoC_iOS_US,0FDD079C-11E5-493E-B87B-6AAF534EA8D2,"",172.58.232.51,,wATPUJ7MTD0R72OF1CV6GQEA,UpTop Digital,5469b0f75e9540259a25182bbfda1b43,INSTALL DECAY THRESHOLD,4,f
2018-07-31,MarvelCoC_iOS_US,"","",107.77.199.14,,dGFU7D9TKTMTPGHF1RNPRR84,PerforMarkt,bb78609d-3321-23189-5fbace31-1dcf-4d81-a10c-3556be02d0ea,INSTALL DECAY THRESHOLD,8,f
2018-07-31,MarvelCoC_iOS_US,0FDD079C-11E5-493E-B87B-6AAF534EA8D2,"",172.58.232.51,172.58.232.51,wATPUJ7MTD0R72OF1CV6GQEA,UpTop Digital,5469b0f75e9540259a25182bbfda1b43,INSTALL DECAY THRESHOLD,2,f
2018-07-31,MarvelCoC_iOS_US,C0DBF53C-F683-4B26-9ECB-89AD2EAD84E9,"",107.77.221.224,,wG6IG4FKLBITBBNF15SONVAC,UpTop Digital,agltb3B1Yi1pbmNyCwsSA0FwcBiJwSEM,INSTALL DECAY THRESHOLD,4,f
2018-07-31,MarvelCoC_iOS_US,"","",107.77.227.156,,w72JEK5JR27F2KCF1KG36C3C,Wavefield,91207b7a-0495-4b2c-be15-2ea5c7e529ef1222206,INSTALL DECAY THRESHOLD,8,f
2018-07-31,MarvelCoC_iOS_US,"",3DD84639-1E88-46CC-B213-576390FC4C8D,184.72.156.27,107.77.204.5,8FAB60BCC66E47469DDBF5150A62,Cross Audience,0f59fded,INSTALL DECAY THRESHOLD,2,f
2018-07-31,MarvelCoC_iOS_US,FB2A7117-6413-4BB5-A3F8-5DD5A5AE741A,"",172.58.97.184,,wCBVO4CADVSJSANF1V73R09O,UpTop Digital,agltb3B1Yi1pbmNyDAsSA0FwcBj01OETDA,INSTALL DECAY THRESHOLD,8,f
2018-07-31,MarvelCoC_iOS_US,"",1058F0ED-74AB-4647-BDCE-FF70C37576E9,52.91.170.147,172.56.34.233,1B5B250841044D56B0FD0482F283,Cross Audience,d7bf689e,INSTALL DECAY THRESHOLD,2,f
2018-07-31,MarvelCoC_iOS_US,"",DD5A3316-0926-4BC7-AE6B-428F7B6836D3,99.203.28.142,99.203.28.142,0C46F057B25048ACA0E3D9F856E9,Cross Audience,d1853ee5,INSTALL DECAY THRESHOLD,2,f
2018-07-31,MarvelCoC_iOS_US,"","",38.142.57.10,,F5444EB9DBD7417099CB412AB14A,Cross Audience,b1825ac0,INSTALL DECAY THRESHOLD,8,f
2018-07-31,MarvelCoC_iOS_US,"","",38.142.57.10,,F5444EB9DBD7417099CB412AB14A,Cross Audience,b1825ac0,INSTALL DECAY THRESHOLD,8,f
2018-07-31,MarvelCoC_iOS_US,"","",38.142.57.10,,F5444EB9DBD7417099CB412AB14A,Cross Audience,b1825ac0,INSTALL DECAY THRESHOLD,8,f
2018-07-31,MarvelCoC_iOS_US,"","",38.142.57.10,,F5444EB9DBD7417099CB412AB14A,Cross Audience,b1825ac0,INSTALL DECAY THRESHOLD,4,f
2018-07-31,MarvelCoC_iOS_US,25E472AF-1E73-4E9E-A9F9-BB64E505531B,"",172.58.152.196,,w95JV8G9DH7HHRNF1KHTV6UK,UpTop Digital,76b3b021b43b4dbd90b6086e68d2cbe0,INSTALL DECAY THRESHOLD,8,f
2018-07-31,MarvelCoC_iOS_US,"","",38.142.57.10,38.142.57.10,F5444EB9DBD7417099CB412AB14A,Cross Audience,b1825ac0,INSTALL DECAY THRESHOLD,2,f
